product_id,product_name,category,cost_price
100,Amazon Product 100,Fashion,381.62
101,Amazon Product 101,Home & Kitchen,314.19
102,Amazon Product 102,Books,64.78
103,Amazon Product 103,Books,176.16
104,Amazon Product 104,Home & Kitchen,51.58
105,Amazon Product 105,Home & Kitchen,234.96
106,Amazon Product 106,Electronics,329.35
107,Amazon Product 107,Beauty,265.04
108,Amazon Product 108,Home & Kitchen,98.12
109,Amazon Product 109,Home & Kitchen,196.79
110,Amazon Product 110,Books,305.98
111,Amazon Product 111,Beauty,25.6
112,Amazon Product 112,Books,75.12
113,Amazon Product 113,Home & Kitchen,326.11
114,Amazon Product 114,Books,289.38
115,Amazon Product 115,Electronics,254.47
116,Amazon Product 116,Home & Kitchen,299.42
117,Amazon Product 117,Fashion,385.15
118,Amazon Product 118,Fashion,295.51
119,Amazon Product 119,Home & Kitchen,190.36
120,Amazon Product 120,Fashion,163.5
121,Amazon Product 121,Beauty,472.83
122,Amazon Product 122,Books,182.3
123,Amazon Product 123,Beauty,68.77
124,Amazon Product 124,Fashion,276.14
125,Amazon Product 125,Home & Kitchen,14.84
126,Amazon Product 126,Electronics,184.92
127,Amazon Product 127,Books,443.69
128,Amazon Product 128,Electronics,440.25
129,Amazon Product 129,Fashion,18.85
130,Amazon Product 130,Home & Kitchen,6.68
131,Amazon Product 131,Beauty,280.61
132,Amazon Product 132,Beauty,160.12
133,Amazon Product 133,Beauty,73.1
134,Amazon Product 134,Electronics,364.45
135,Amazon Product 135,Books,268.36
136,Amazon Product 136,Home & Kitchen,238.34
137,Amazon Product 137,Fashion,260.24
138,Amazon Product 138,Electronics,167.37
139,Amazon Product 139,Books,466.85
140,Amazon Product 140,Books,85.29
141,Amazon Product 141,Home & Kitchen,254.25
142,Amazon Product 142,Beauty,228.98
143,Amazon Product 143,Fashion,315.41
144,Amazon Product 144,Fashion,271.37
145,Amazon Product 145,Home & Kitchen,195.7
146,Amazon Product 146,Home & Kitchen,92.68
147,Amazon Product 147,Beauty,317.87
148,Amazon Product 148,Beauty,385.26
149,Amazon Product 149,Fashion,344.7
150,Amazon Product 150,Beauty,158.68
151,Amazon Product 151,Fashion,204.45
152,Amazon Product 152,Home & Kitchen,87.49
153,Amazon Product 153,Fashion,144.85
154,Amazon Product 154,Home & Kitchen,270.68
155,Amazon Product 155,Home & Kitchen,26.51
156,Amazon Product 156,Home & Kitchen,464.18
157,Amazon Product 157,Books,382.32
158,Amazon Product 158,Books,422.45
159,Amazon Product 159,Beauty,131.77
160,Amazon Product 160,Electronics,82.58
161,Amazon Product 161,Beauty,385.98
162,Amazon Product 162,Electronics,337.13
163,Amazon Product 163,Home & Kitchen,340.45
164,Amazon Product 164,Electronics,305.58
165,Amazon Product 165,Books,444.47
166,Amazon Product 166,Home & Kitchen,214.59
167,Amazon Product 167,Fashion,242.39
168,Amazon Product 168,Home & Kitchen,130.87
169,Amazon Product 169,Books,9.0
170,Amazon Product 170,Books,173.4
171,Amazon Product 171,Books,252.94
172,Amazon Product 172,Fashion,124.17
173,Amazon Product 173,Electronics,184.96
174,Amazon Product 174,Fashion,367.69
175,Amazon Product 175,Beauty,208.42
176,Amazon Product 176,Beauty,445.17
177,Amazon Product 177,Beauty,498.56
178,Amazon Product 178,Fashion,82.12
179,Amazon Product 179,Electronics,38.44
180,Amazon Product 180,Home & Kitchen,146.92
181,Amazon Product 181,Fashion,346.63
182,Amazon Product 182,Books,357.56
183,Amazon Product 183,Beauty,148.57
184,Amazon Product 184,Beauty,314.43
185,Amazon Product 185,Electronics,403.37
186,Amazon Product 186,Books,122.31
187,Amazon Product 187,Beauty,170.67
188,Amazon Product 188,Home & Kitchen,208.36
189,Amazon Product 189,Fashion,262.18
190,Amazon Product 190,Home & Kitchen,251.44
191,Amazon Product 191,Beauty,169.18
192,Amazon Product 192,Beauty,84.05
193,Amazon Product 193,Fashion,219.64
194,Amazon Product 194,Beauty,226.48
195,Amazon Product 195,Electronics,42.15
196,Amazon Product 196,Fashion,273.23
197,Amazon Product 197,Beauty,261.01
198,Amazon Product 198,Electronics,305.13
199,Amazon Product 199,Electronics,188.26
200,Amazon Product 200,Home & Kitchen,266.64
201,Amazon Product 201,Home & Kitchen,176.35
202,Amazon Product 202,Fashion,473.35
203,Amazon Product 203,Electronics,281.19
204,Amazon Product 204,Electronics,41.06
205,Amazon Product 205,Books,332.44
206,Amazon Product 206,Beauty,178.11
207,Amazon Product 207,Fashion,144.16
208,Amazon Product 208,Electronics,145.32
209,Amazon Product 209,Books,114.13
210,Amazon Product 210,Fashion,288.84
211,Amazon Product 211,Fashion,101.94
212,Amazon Product 212,Electronics,83.23
213,Amazon Product 213,Fashion,467.06
214,Amazon Product 214,Electronics,429.09
215,Amazon Product 215,Books,320.55
216,Amazon Product 216,Beauty,214.21
217,Amazon Product 217,Home & Kitchen,21.26
218,Amazon Product 218,Fashion,277.42
